Total_Transactions,Average_Value_Score,Market_Concentration,Buyer_States,Seller_States
479,0.01871358986077976,0.3883089770354906,"{'NOT_INTERESTED': 13, 'DECIDING': 2, 'DISSATISFIED': 2, 'SATISFIED': 2, 'BUDGETING': 6, 'EVALUATING': 3, 'GO_NOGO': 2}","{'PROPOSING': 4, 'NEGOTIATING': 2, 'QUALIFYING': 4}"
509,0.01988368648321107,0.4066797642436149,"{'EVALUATING': 5, 'GO_NOGO': 1, 'DISSATISFIED': 2, 'SATISFIED': 2, 'NOT_INTERESTED': 10, 'BUDGETING': 5, 'DELIVERED': 2, 'DECIDING': 3}","{'NEGOTIATING': 4, 'CLOSING': 1, 'PROPOSING': 2, 'QUALIFYING': 3}"
539,0.020189176825560703,0.4267161410018553,"{'EVALUATING': 6, 'DELIVERED': 1, 'DISSATISFIED': 2, 'NOT_INTERESTED': 12, 'SATISFIED': 4, 'BUDGETING': 2, 'DECIDING': 3}","{'CLOSING': 3, 'NEGOTIATING': 2, 'PROPOSING': 3, 'QUALIFYING': 2}"
569,0.020723104409495294,0.421792618629174,"{'NOT_INTERESTED': 12, 'SATISFIED': 5, 'DISSATISFIED': 2, 'DECIDING': 2, 'EVALUATING': 4, 'BUDGETING': 3, 'GO_NOGO': 2}","{'MAINTAINING': 3, 'CLOSING': 3, 'NEGOTIATING': 1, 'PROPOSING': 1, 'QUALIFYING': 2}"
599,0.020424773734449408,0.4006677796327212,"{'NOT_INTERESTED': 13, 'SATISFIED': 5, 'DISSATISFIED': 2, 'EVALUATING': 5, 'GO_NOGO': 1, 'DECIDING': 2, 'DELIVERED': 1, 'BUDGETING': 1}","{'MAINTAINING': 4, 'PROPOSING': 1, 'NEGOTIATING': 2, 'QUALIFYING': 2, 'PROSPECTING': 1}"
629,0.019450619184316686,0.3815580286168522,"{'NOT_INTERESTED': 15, 'SATISFIED': 5, 'DISSATISFIED': 3, 'BUDGETING': 3, 'DELIVERED': 1, 'EVALUATING': 3}","{'MAINTAINING': 2, 'PROSPECTING': 2, 'QUALIFYING': 4, 'PROPOSING': 1, 'NEGOTIATING': 1}"
659,0.018565158523422148,0.36418816388467373,"{'NOT_INTERESTED': 10, 'SATISFIED': 5, 'DISSATISFIED': 4, 'EVALUATING': 9, 'DECIDING': 1, 'BUDGETING': 1}","{'PROSPECTING': 2, 'QUALIFYING': 4, 'PROPOSING': 2, 'CLOSING': 1, 'MAINTAINING': 1}"
689,0.017756806192939324,0.3483309143686502,"{'NOT_INTERESTED': 14, 'DISSATISFIED': 5, 'SATISFIED': 4, 'EVALUATING': 2, 'BUDGETING': 5}","{'PROSPECTING': 2, 'QUALIFYING': 4, 'PROPOSING': 2, 'NEGOTIATING': 1, 'MAINTAINING': 1}"
719,0.017759057911542933,0.3337969401947149,"{'NOT_INTERESTED': 11, 'DISSATISFIED': 6, 'EVALUATING': 6, 'SATISFIED': 3, 'BUDGETING': 4}","{'QUALIFYING': 3, 'PROPOSING': 3, 'CLOSING': 1, 'MAINTAINING': 1, 'NEGOTIATING': 1, 'PROSPECTING': 1}"
749,0.01874980562446636,0.3204272363150868,"{'EVALUATING': 7, 'DISSATISFIED': 5, 'NOT_INTERESTED': 8, 'SATISFIED': 4, 'BUDGETING': 5, 'DECIDING': 1}","{'QUALIFYING': 4, 'PROPOSING': 2, 'MAINTAINING': 1, 'PROSPECTING': 1, 'NEGOTIATING': 2}"
779,0.019591522935182248,0.3080872913992298,"{'EVALUATING': 5, 'DISSATISFIED': 2, 'SATISFIED': 7, 'NOT_INTERESTED': 8, 'BUDGETING': 7, 'DECIDING': 1}","{'PROPOSING': 1, 'QUALIFYING': 4, 'NEGOTIATING': 3, 'PROSPECTING': 1, 'CLOSING': 1}"
809,0.02018589623503508,0.3226205191594561,"{'NOT_INTERESTED': 10, 'DISSATISFIED': 3, 'SATISFIED': 6, 'BUDGETING': 3, 'DECIDING': 3, 'GO_NOGO': 1, 'EVALUATING': 4}","{'NEGOTIATING': 2, 'QUALIFYING': 4, 'PROPOSING': 2, 'CLOSING': 1, 'MAINTAINING': 1}"
839,0.02021465347175362,0.3420738974970203,"{'NOT_INTERESTED': 12, 'DISSATISFIED': 3, 'SATISFIED': 6, 'EVALUATING': 5, 'DECIDING': 2, 'BUDGETING': 2}","{'CLOSING': 3, 'QUALIFYING': 4, 'NEGOTIATING': 1, 'MAINTAINING': 2}"
869,0.019890085202362455,0.3567318757192175,"{'NOT_INTERESTED': 9, 'DISSATISFIED': 2, 'SATISFIED': 7, 'BUDGETING': 3, 'EVALUATING': 7, 'GO_NOGO': 1, 'DECIDING': 1}","{'MAINTAINING': 3, 'QUALIFYING': 3, 'PROPOSING': 2, 'PROSPECTING': 2}"
899,0.01922634487302889,0.3448275862068966,"{'NOT_INTERESTED': 8, 'DISSATISFIED': 3, 'SATISFIED': 6, 'EVALUATING': 5, 'BUDGETING': 6, 'DELIVERED': 1, 'DECIDING': 1}","{'PROSPECTING': 4, 'QUALIFYING': 2, 'PROPOSING': 3, 'MAINTAINING': 1}"
929,0.018605472595105463,0.333692142088267,"{'NOT_INTERESTED': 5, 'DISSATISFIED': 3, 'SATISFIED': 7, 'EVALUATING': 7, 'BUDGETING': 5, 'DECIDING': 3}","{'PROSPECTING': 2, 'QUALIFYING': 5, 'NEGOTIATING': 2, 'CLOSING': 1}"
959,0.01802344529807401,0.3232533889468196,"{'NOT_INTERESTED': 9, 'DISSATISFIED': 4, 'SATISFIED': 6, 'BUDGETING': 5, 'DECIDING': 3, 'EVALUATING': 3}","{'PROSPECTING': 2, 'QUALIFYING': 4, 'CLOSING': 1, 'PROPOSING': 2, 'MAINTAINING': 1}"
989,0.017839670737201132,0.3134479271991911,"{'EVALUATING': 7, 'DISSATISFIED': 4, 'SATISFIED': 6, 'NOT_INTERESTED': 8, 'BUDGETING': 3, 'DECIDING': 2}","{'QUALIFYING': 4, 'PROPOSING': 4, 'CLOSING': 1, 'MAINTAINING': 1}"
1019,0.018342734803946138,0.310107948969578,"{'NOT_INTERESTED': 9, 'DISSATISFIED': 3, 'SATISFIED': 7, 'EVALUATING': 7, 'DECIDING': 1, 'BUDGETING': 1, 'GO_NOGO': 2}","{'PROPOSING': 3, 'QUALIFYING': 3, 'MAINTAINING': 2, 'CLOSING': 2}"
1049,0.018018192968632767,0.3279313632030505,"{'NOT_INTERESTED': 11, 'SATISFIED': 7, 'BUDGETING': 6, 'DISSATISFIED': 3, 'GO_NOGO': 1, 'EVALUATING': 1, 'DECIDING': 1}","{'NEGOTIATING': 1, 'CLOSING': 1, 'QUALIFYING': 3, 'PROSPECTING': 1, 'MAINTAINING': 3, 'PROPOSING': 1}"
1079,0.01839896849757732,0.3392029657089898,"{'EVALUATING': 4, 'SATISFIED': 6, 'NOT_INTERESTED': 11, 'DISSATISFIED': 4, 'DELIVERED': 1, 'BUDGETING': 2, 'DECIDING': 2}","{'NEGOTIATING': 1, 'CLOSING': 1, 'PROPOSING': 3, 'PROSPECTING': 3, 'MAINTAINING': 1, 'QUALIFYING': 1}"
1109,0.018335604208191865,0.35437330928764654,"{'NOT_INTERESTED': 6, 'SATISFIED': 7, 'EVALUATING': 9, 'DISSATISFIED': 4, 'DECIDING': 3, 'BUDGETING': 1}","{'PROPOSING': 3, 'MAINTAINING': 1, 'QUALIFYING': 4, 'PROSPECTING': 1, 'CLOSING': 1}"
1139,0.018701587193561766,0.3652326602282704,"{'NOT_INTERESTED': 7, 'SATISFIED': 6, 'EVALUATING': 9, 'DISSATISFIED': 5, 'DECIDING': 2, 'BUDGETING': 1}","{'CLOSING': 2, 'PROSPECTING': 2, 'PROPOSING': 3, 'QUALIFYING': 3}"
1169,0.01900943728770389,0.369546621043627,"{'NOT_INTERESTED': 10, 'SATISFIED': 7, 'EVALUATING': 6, 'DISSATISFIED': 4, 'DECIDING': 2, 'BUDGETING': 1}","{'MAINTAINING': 2, 'PROSPECTING': 2, 'PROPOSING': 2, 'QUALIFYING': 2, 'NEGOTIATING': 2}"
1199,0.01920257581636572,0.3603002502085071,"{'NOT_INTERESTED': 10, 'SATISFIED': 6, 'EVALUATING': 7, 'DISSATISFIED': 5, 'BUDGETING': 1, 'DECIDING': 1}","{'PROSPECTING': 1, 'QUALIFYING': 2, 'NEGOTIATING': 2, 'PROPOSING': 3, 'CLOSING': 1, 'MAINTAINING': 1}"
1229,0.01936811069137664,0.3515052888527258,"{'EVALUATING': 4, 'SATISFIED': 6, 'NOT_INTERESTED': 9, 'DISSATISFIED': 5, 'DECIDING': 1, 'BUDGETING': 4, 'GO_NOGO': 1}","{'QUALIFYING': 3, 'PROPOSING': 3, 'NEGOTIATING': 1, 'MAINTAINING': 1, 'CLOSING': 1, 'PROSPECTING': 1}"
1259,0.0200094043384596,0.3431294678316124,"{'BUDGETING': 2, 'SATISFIED': 4, 'NOT_INTERESTED': 10, 'DISSATISFIED': 7, 'DECIDING': 4, 'DELIVERED': 1, 'EVALUATING': 2}","{'QUALIFYING': 4, 'PROPOSING': 2, 'CLOSING': 2, 'PROSPECTING': 1, 'MAINTAINING': 1}"
1289,0.020314387670191916,0.34290147401086113,"{'NOT_INTERESTED': 7, 'SATISFIED': 5, 'DISSATISFIED': 7, 'EVALUATING': 6, 'DECIDING': 2, 'BUDGETING': 2, 'GO_NOGO': 1}","{'PROPOSING': 4, 'CLOSING': 2, 'QUALIFYING': 2, 'PROSPECTING': 1, 'MAINTAINING': 1}"
1319,0.020387092209674277,0.35329795299469297,"{'NOT_INTERESTED': 8, 'SATISFIED': 5, 'DISSATISFIED': 7, 'EVALUATING': 6, 'GO_NOGO': 1, 'BUDGETING': 2, 'DECIDING': 1}","{'NEGOTIATING': 2, 'MAINTAINING': 1, 'CLOSING': 2, 'QUALIFYING': 3, 'PROSPECTING': 1, 'PROPOSING': 1}"
1349,0.020310971855472093,0.36397331356560414,"{'EVALUATING': 6, 'SATISFIED': 6, 'DISSATISFIED': 6, 'NOT_INTERESTED': 8, 'BUDGETING': 3, 'DECIDING': 1}","{'NEGOTIATING': 2, 'PROPOSING': 3, 'MAINTAINING': 2, 'QUALIFYING': 3}"
1379,0.020292501254405813,0.3741841914430747,"{'NOT_INTERESTED': 9, 'SATISFIED': 6, 'DISSATISFIED': 6, 'EVALUATING': 3, 'BUDGETING': 3, 'DECIDING': 2, 'GO_NOGO': 1}","{'NEGOTIATING': 1, 'PROPOSING': 3, 'PROSPECTING': 1, 'MAINTAINING': 1, 'QUALIFYING': 3, 'CLOSING': 1}"
1409,0.02046188058485354,0.38183108587650816,"{'EVALUATING': 4, 'SATISFIED': 6, 'DISSATISFIED': 6, 'NOT_INTERESTED': 7, 'BUDGETING': 4, 'DECIDING': 1, 'GO_NOGO': 1, 'DELIVERED': 1}","{'CLOSING': 2, 'NEGOTIATING': 1, 'PROSPECTING': 2, 'PROPOSING': 4, 'MAINTAINING': 1}"
1439,0.020484429860801907,0.37595552466990967,"{'BUDGETING': 4, 'SATISFIED': 8, 'NOT_INTERESTED': 6, 'DISSATISFIED': 5, 'EVALUATING': 4, 'DECIDING': 1, 'GO_NOGO': 1, 'DELIVERED': 1}","{'MAINTAINING': 3, 'NEGOTIATING': 4, 'PROSPECTING': 2, 'CLOSING': 1}"
1469,0.020321390994363503,0.3682777399591559,"{'EVALUATING': 4, 'DISSATISFIED': 7, 'NOT_INTERESTED': 7, 'SATISFIED': 7, 'DELIVERED': 1, 'BUDGETING': 4}","{'PROSPECTING': 3, 'PROPOSING': 2, 'QUALIFYING': 1, 'MAINTAINING': 2, 'NEGOTIATING': 2}"
