Run,Current State,Current Step Number,Next State,Next Step Number
8,Qualifying,2,Qualifying,3
8,Qualifying,3,Qualifying,4
8,Qualifying,4,Qualifying,5
8,Qualifying,5,Proposing,6
8,Proposing,6,Negotiating,7
8,Negotiating,7,Closing,8
8,Closing,8,Maintaining,9
9,Prospecting,1,Qualifying,2
9,Qualifying,2,Qualifying,3
9,Qualifying,3,Qualifying,4
9,Qualifying,4,Qualifying,5
9,Qualifying,5,Qualifying,6
9,Qualifying,6,Proposing,7
9,Proposing,7,Negotiating,8
9,Negotiating,8,Negotiating,9
9,Negotiating,9,Closing,10
9,Closing,10,Maintaining,11
10,Prospecting,1,Qualifying,2
10,Qualifying,2,Proposing,3
10,Proposing,3,Closing,4
10,Closing,4,Maintaining,5
11,Prospecting,1,Prospecting,2
11,Prospecting,2,Qualifying,3
11,Qualifying,3,Qualifying,4
11,Qualifying,4,Qualifying,5
11,Qualifying,5,Qualifying,6
11,Qualifying,6,Qualifying,7
11,Qualifying,7,Qualifying,8
11,Qualifying,8,Qualifying,9
11,Qualifying,9,Qualifying,10
11,Qualifying,10,Proposing,11
11,Proposing,11,Proposing,12
11,Proposing,12,Qualifying,13
11,Qualifying,13,Proposing,14
11,Proposing,14,Closing,15
11,Closing,15,Maintaining,16
12,Prospecting,1,Prospecting,2
12,Prospecting,2,Qualifying,3
12,Qualifying,3,Qualifying,4
12,Qualifying,4,Qualifying,5
12,Qualifying,5,Qualifying,6
12,Qualifying,6,Qualifying,7
12,Qualifying,7,Proposing,8
12,Proposing,8,Proposing,9
12,Proposing,9,Negotiating,10
12,Negotiating,10,Negotiating,11
12,Negotiating,11,Proposing,12
12,Proposing,12,Closing,13
12,Closing,13,Maintaining,14
13,Prospecting,1,Qualifying,2
13,Qualifying,2,Proposing,3
13,Proposing,3,Closing,4
13,Closing,4,Maintaining,5
14,Prospecting,1,Prospecting,2
14,Prospecting,2,Prospecting,3
14,Prospecting,3,Prospecting,4
14,Prospecting,4,Prospecting,5
14,Prospecting,5,Qualifying,6
14,Qualifying,6,Proposing,7
14,Proposing,7,Negotiating,8
14,Negotiating,8,Negotiating,9
14,Negotiating,9,Negotiating,10
14,Negotiating,10,Proposing,11
14,Proposing,11,Proposing,12
14,Proposing,12,Qualifying,13
14,Qualifying,13,Proposing,14
14,Proposing,14,Proposing,15
14,Proposing,15,Closing,16
14,Closing,16,Closing,17
14,Closing,17,Maintaining,18
15,Prospecting,1,Qualifying,2
15,Qualifying,2,Proposing,3
15,Proposing,3,Closing,4
15,Closing,4,Maintaining,5
16,Prospecting,1,Prospecting,2
16,Prospecting,2,Qualifying,3
16,Qualifying,3,Qualifying,4
16,Qualifying,4,Qualifying,5
16,Qualifying,5,Proposing,6
16,Proposing,6,Negotiating,7
16,Negotiating,7,Negotiating,8
16,Negotiating,8,Closing,9
16,Closing,9,Maintaining,10
17,Prospecting,1,Qualifying,2
17,Qualifying,2,Qualifying,3
17,Qualifying,3,Qualifying,4
17,Qualifying,4,Qualifying,5
17,Qualifying,5,Qualifying,6
17,Qualifying,6,Qualifying,7
17,Qualifying,7,Qualifying,8
17,Qualifying,8,Proposing,9
17,Proposing,9,Proposing,10
17,Proposing,10,Negotiating,11
17,Negotiating,11,Closing,12
17,Closing,12,Prospecting,13
17,Prospecting,13,Prospecting,14
17,Prospecting,14,Qualifying,15
17,Qualifying,15,Proposing,16
17,Proposing,16,Proposing,17
17,Proposing,17,Negotiating,18
17,Negotiating,18,Negotiating,19
17,Negotiating,19,Negotiating,20
17,Negotiating,20,Negotiating,21
17,Negotiating,21,Negotiating,22
17,Negotiating,22,Proposing,23
17,Proposing,23,Qualifying,24
17,Qualifying,24,Qualifying,25
17,Qualifying,25,Qualifying,26
17,Qualifying,26,Proposing,27
17,Proposing,27,Negotiating,28
17,Negotiating,28,Closing,29
17,Closing,29,Maintaining,30
18,Prospecting,1,Prospecting,2
18,Prospecting,2,Qualifying,3
18,Qualifying,3,Qualifying,4
18,Qualifying,4,Qualifying,5
18,Qualifying,5,Qualifying,6
18,Qualifying,6,Qualifying,7
18,Qualifying,7,Proposing,8
18,Proposing,8,Negotiating,9
18,Negotiating,9,Negotiating,10
18,Negotiating,10,Closing,11
18,Closing,11,Maintaining,12
19,Prospecting,1,Qualifying,2
19,Qualifying,2,Qualifying,3
19,Qualifying,3,Qualifying,4
19,Qualifying,4,Proposing,5
19,Proposing,5,Negotiating,6
19,Negotiating,6,Negotiating,7
19,Negotiating,7,Negotiating,8
19,Negotiating,8,Closing,9
19,Closing,9,Maintaining,10
20,Prospecting,1,Qualifying,2
20,Qualifying,2,Qualifying,3
20,Qualifying,3,Qualifying,4
20,Qualifying,4,Proposing,5
20,Proposing,5,Negotiating,6
20,Negotiating,6,Negotiating,7
20,Negotiating,7,Closing,8
20,Closing,8,Prospecting,9
20,Prospecting,9,Prospecting,10
20,Prospecting,10,Prospecting,11
20,Prospecting,11,Prospecting,12
20,Prospecting,12,Prospecting,13
20,Prospecting,13,Prospecting,14
20,Prospecting,14,Qualifying,15
20,Qualifying,15,Proposing,16
20,Proposing,16,Closing,17
20,Closing,17,Closing,18
20,Closing,18,Maintaining,19
21,Prospecting,1,Prospecting,2
21,Prospecting,2,Qualifying,3
21,Qualifying,3,Qualifying,4
21,Qualifying,4,Qualifying,5
21,Qualifying,5,Qualifying,6
21,Qualifying,6,Qualifying,7
21,Qualifying,7,Qualifying,8
21,Qualifying,8,Qualifying,9
21,Qualifying,9,Proposing,10
21,Proposing,10,Negotiating,11
21,Negotiating,11,Closing,12
21,Closing,12,Maintaining,13
22,Prospecting,1,Qualifying,2
22,Qualifying,2,Proposing,3
22,Proposing,3,Proposing,4
22,Proposing,4,Closing,5
22,Closing,5,Proposing,6
22,Proposing,6,Negotiating,7
22,Negotiating,7,Proposing,8
22,Proposing,8,Proposing,9
22,Proposing,9,Proposing,10
22,Proposing,10,Proposing,11
22,Proposing,11,Negotiating,12
22,Negotiating,12,Closing,13
22,Closing,13,Proposing,14
22,Proposing,14,Proposing,15
22,Proposing,15,Proposing,16
22,Proposing,16,Closing,17
22,Closing,17,Maintaining,18
23,Prospecting,1,Qualifying,2
23,Qualifying,2,Qualifying,3
23,Qualifying,3,Proposing,4
23,Proposing,4,Negotiating,5
23,Negotiating,5,Negotiating,6
23,Negotiating,6,Negotiating,7
23,Negotiating,7,Negotiating,8
23,Negotiating,8,Negotiating,9
23,Negotiating,9,Closing,10
23,Closing,10,Maintaining,11
24,Prospecting,1,Qualifying,2
24,Qualifying,2,Qualifying,3
24,Qualifying,3,Qualifying,4
24,Qualifying,4,Qualifying,5
24,Qualifying,5,Qualifying,6
24,Qualifying,6,Qualifying,7
24,Qualifying,7,Qualifying,8
24,Qualifying,8,Qualifying,9
24,Qualifying,9,Qualifying,10
24,Qualifying,10,Qualifying,11
24,Qualifying,11,Proposing,12
24,Proposing,12,Negotiating,13
24,Negotiating,13,Negotiating,14
24,Negotiating,14,Closing,15
24,Closing,15,Closing,16
24,Closing,16,Maintaining,17
25,Prospecting,1,Qualifying,2
25,Qualifying,2,Proposing,3
25,Proposing,3,Proposing,4
25,Proposing,4,Proposing,5
25,Proposing,5,Negotiating,6
25,Negotiating,6,Closing,7
25,Closing,7,Proposing,8
25,Proposing,8,Closing,9
25,Closing,9,Maintaining,10
26,Prospecting,1,Prospecting,2
26,Prospecting,2,Prospecting,3
26,Prospecting,3,Prospecting,4
26,Prospecting,4,Prospecting,5
26,Prospecting,5,Prospecting,6
26,Prospecting,6,Qualifying,7
26,Qualifying,7,Proposing,8
26,Proposing,8,Proposing,9
26,Proposing,9,Negotiating,10
26,Negotiating,10,Negotiating,11
26,Negotiating,11,Proposing,12
26,Proposing,12,Proposing,13
26,Proposing,13,Negotiating,14
26,Negotiating,14,Negotiating,15
26,Negotiating,15,Closing,16
26,Closing,16,Proposing,17
26,Proposing,17,Closing,18
26,Closing,18,Closing,19
26,Closing,19,Maintaining,20
27,Prospecting,1,Prospecting,2
27,Prospecting,2,Prospecting,3
27,Prospecting,3,Prospecting,4
27,Prospecting,4,Qualifying,5
27,Qualifying,5,Qualifying,6
27,Qualifying,6,Qualifying,7
27,Qualifying,7,Qualifying,8
27,Qualifying,8,Proposing,9
27,Proposing,9,Closing,10
27,Closing,10,Prospecting,11
27,Prospecting,11,Qualifying,12
27,Qualifying,12,Proposing,13
27,Proposing,13,Negotiating,14
27,Negotiating,14,Negotiating,15
27,Negotiating,15,Negotiating,16
27,Negotiating,16,Closing,17
27,Closing,17,Closing,18
27,Closing,18,Maintaining,19
28,Prospecting,1,Qualifying,2
28,Qualifying,2,Proposing,3
28,Proposing,3,Negotiating,4
28,Negotiating,4,Closing,5
28,Closing,5,Maintaining,6
29,Prospecting,1,Qualifying,2
29,Qualifying,2,Proposing,3
29,Proposing,3,Proposing,4
29,Proposing,4,Negotiating,5
29,Negotiating,5,Negotiating,6
29,Negotiating,6,Negotiating,7
29,Negotiating,7,Closing,8
29,Closing,8,Maintaining,9
30,Prospecting,1,Prospecting,2
30,Prospecting,2,Qualifying,3
30,Qualifying,3,Proposing,4
30,Proposing,4,Closing,5
30,Closing,5,Closing,6
30,Closing,6,Maintaining,7
31,Prospecting,1,Prospecting,2
31,Prospecting,2,Prospecting,3
31,Prospecting,3,Qualifying,4
31,Qualifying,4,Proposing,5
31,Proposing,5,Qualifying,6
31,Qualifying,6,Proposing,7
31,Proposing,7,Closing,8
31,Closing,8,Maintaining,9
32,Prospecting,1,Prospecting,2
32,Prospecting,2,Prospecting,3
32,Prospecting,3,Qualifying,4
32,Qualifying,4,Qualifying,5
32,Qualifying,5,Qualifying,6
32,Qualifying,6,Proposing,7
32,Proposing,7,Closing,8
32,Closing,8,Closing,9
32,Closing,9,Prospecting,10
32,Prospecting,10,Prospecting,11
32,Prospecting,11,Qualifying,12
32,Qualifying,12,Proposing,13
32,Proposing,13,Closing,14
32,Closing,14,Closing,15
32,Closing,15,Maintaining,16
33,Prospecting,1,Qualifying,2
33,Qualifying,2,Qualifying,3
33,Qualifying,3,Qualifying,4
33,Qualifying,4,Qualifying,5
33,Qualifying,5,Proposing,6
33,Proposing,6,Qualifying,7
33,Qualifying,7,Qualifying,8
33,Qualifying,8,Qualifying,9
33,Qualifying,9,Qualifying,10
33,Qualifying,10,Qualifying,11
33,Qualifying,11,Proposing,12
33,Proposing,12,Proposing,13
33,Proposing,13,Proposing,14
33,Proposing,14,Proposing,15
33,Proposing,15,Proposing,16
33,Proposing,16,Proposing,17
33,Proposing,17,Negotiating,18
33,Negotiating,18,Proposing,19
33,Proposing,19,Negotiating,20
33,Negotiating,20,Negotiating,21
33,Negotiating,21,Closing,22
33,Closing,22,Prospecting,23
33,Prospecting,23,Prospecting,24
33,Prospecting,24,Prospecting,25
33,Prospecting,25,Prospecting,26
33,Prospecting,26,Qualifying,27
33,Qualifying,27,Qualifying,28
33,Qualifying,28,Qualifying,29
33,Qualifying,29,Qualifying,30
33,Qualifying,30,Proposing,31
33,Proposing,31,Negotiating,32
33,Negotiating,32,Proposing,33
33,Proposing,33,Negotiating,34
33,Negotiating,34,Closing,35
33,Closing,35,Proposing,36
33,Proposing,36,Negotiating,37
33,Negotiating,37,Negotiating,38
33,Negotiating,38,Closing,39
33,Closing,39,Prospecting,40
33,Prospecting,40,Prospecting,41
33,Prospecting,41,Prospecting,42
33,Prospecting,42,Qualifying,43
33,Qualifying,43,Qualifying,44
33,Qualifying,44,Qualifying,45
33,Qualifying,45,Proposing,46
33,Proposing,46,Negotiating,47
33,Negotiating,47,Negotiating,48
33,Negotiating,48,Closing,49
33,Closing,49,Closing,50
33,Closing,50,Prospecting,51
33,Prospecting,51,Qualifying,52
33,Qualifying,52,Proposing,53
33,Proposing,53,Negotiating,54
33,Negotiating,54,Proposing,55
33,Proposing,55,Closing,56
33,Closing,56,Maintaining,57
34,Prospecting,1,Qualifying,2
34,Qualifying,2,Proposing,3
34,Proposing,3,Negotiating,4
34,Negotiating,4,Closing,5
34,Closing,5,Maintaining,6
35,Prospecting,1,Prospecting,2
35,Prospecting,2,Prospecting,3
35,Prospecting,3,Prospecting,4
35,Prospecting,4,Prospecting,5
35,Prospecting,5,Prospecting,6
35,Prospecting,6,Qualifying,7
35,Qualifying,7,Qualifying,8
35,Qualifying,8,Qualifying,9
35,Qualifying,9,Qualifying,10
35,Qualifying,10,Qualifying,11
35,Qualifying,11,Proposing,12
35,Proposing,12,Closing,13
35,Closing,13,Closing,14
35,Closing,14,Maintaining,15
36,Prospecting,1,Prospecting,2
36,Prospecting,2,Qualifying,3
36,Qualifying,3,Proposing,4
36,Proposing,4,Negotiating,5
36,Negotiating,5,Negotiating,6
36,Negotiating,6,Proposing,7
36,Proposing,7,Closing,8
36,Closing,8,Closing,9
36,Closing,9,Maintaining,10
37,Prospecting,1,Qualifying,2
37,Qualifying,2,Qualifying,3
37,Qualifying,3,Proposing,4
37,Proposing,4,Negotiating,5
37,Negotiating,5,Negotiating,6
37,Negotiating,6,Closing,7
37,Closing,7,Closing,8
37,Closing,8,Proposing,9
37,Proposing,9,Proposing,10
37,Proposing,10,Closing,11
37,Closing,11,Proposing,12
37,Proposing,12,Closing,13
37,Closing,13,Prospecting,14
37,Prospecting,14,Qualifying,15
37,Qualifying,15,Proposing,16
37,Proposing,16,Negotiating,17
37,Negotiating,17,Proposing,18
37,Proposing,18,Proposing,19
37,Proposing,19,Proposing,20
37,Proposing,20,Qualifying,21
37,Qualifying,21,Proposing,22
37,Proposing,22,Proposing,23
37,Proposing,23,Negotiating,24
37,Negotiating,24,Negotiating,25
37,Negotiating,25,Proposing,26
37,Proposing,26,Negotiating,27
37,Negotiating,27,Closing,28
37,Closing,28,Closing,29
37,Closing,29,Closing,30
37,Closing,30,Proposing,31
37,Proposing,31,Negotiating,32
37,Negotiating,32,Proposing,33
37,Proposing,33,Negotiating,34
37,Negotiating,34,Proposing,35
37,Proposing,35,Negotiating,36
37,Negotiating,36,Negotiating,37
37,Negotiating,37,Negotiating,38
37,Negotiating,38,Closing,39
37,Closing,39,Maintaining,40
38,Prospecting,1,Prospecting,2
38,Prospecting,2,Prospecting,3
38,Prospecting,3,Qualifying,4
38,Qualifying,4,Proposing,5
38,Proposing,5,Proposing,6
38,Proposing,6,Qualifying,7
38,Qualifying,7,Qualifying,8
38,Qualifying,8,Qualifying,9
38,Qualifying,9,Qualifying,10
38,Qualifying,10,Qualifying,11
38,Qualifying,11,Proposing,12
38,Proposing,12,Closing,13
38,Closing,13,Prospecting,14
38,Prospecting,14,Prospecting,15
38,Prospecting,15,Prospecting,16
38,Prospecting,16,Prospecting,17
38,Prospecting,17,Prospecting,18
38,Prospecting,18,Qualifying,19
38,Qualifying,19,Qualifying,20
38,Qualifying,20,Proposing,21
38,Proposing,21,Negotiating,22
38,Negotiating,22,Closing,23
38,Closing,23,Closing,24
38,Closing,24,Maintaining,25
39,Prospecting,1,Qualifying,2
39,Qualifying,2,Proposing,3
39,Proposing,3,Negotiating,4
39,Negotiating,4,Proposing,5
39,Proposing,5,Closing,6
39,Closing,6,Maintaining,7
40,Prospecting,1,Qualifying,2
40,Qualifying,2,Qualifying,3
40,Qualifying,3,Qualifying,4
40,Qualifying,4,Qualifying,5
40,Qualifying,5,Proposing,6
40,Proposing,6,Negotiating,7
40,Negotiating,7,Negotiating,8
40,Negotiating,8,Proposing,9
40,Proposing,9,Closing,10
40,Closing,10,Proposing,11
40,Proposing,11,Closing,12
40,Closing,12,Closing,13
40,Closing,13,Closing,14
40,Closing,14,Maintaining,15
41,Prospecting,1,Qualifying,2
41,Qualifying,2,Qualifying,3
41,Qualifying,3,Proposing,4
41,Proposing,4,Proposing,5
41,Proposing,5,Closing,6
41,Closing,6,Closing,7
41,Closing,7,Prospecting,8
41,Prospecting,8,Prospecting,9
41,Prospecting,9,Prospecting,10
41,Prospecting,10,Prospecting,11
41,Prospecting,11,Prospecting,12
41,Prospecting,12,Qualifying,13
41,Qualifying,13,Qualifying,14
41,Qualifying,14,Qualifying,15
41,Qualifying,15,Qualifying,16
41,Qualifying,16,Proposing,17
41,Proposing,17,Closing,18
41,Closing,18,Closing,19
41,Closing,19,Maintaining,20
42,Prospecting,1,Prospecting,2
42,Prospecting,2,Prospecting,3
42,Prospecting,3,Prospecting,4
42,Prospecting,4,Qualifying,5
42,Qualifying,5,Qualifying,6
42,Qualifying,6,Qualifying,7
42,Qualifying,7,Qualifying,8
42,Qualifying,8,Qualifying,9
42,Qualifying,9,Qualifying,10
42,Qualifying,10,Qualifying,11
42,Qualifying,11,Qualifying,12
42,Qualifying,12,Proposing,13
42,Proposing,13,Proposing,14
42,Proposing,14,Negotiating,15
42,Negotiating,15,Negotiating,16
42,Negotiating,16,Negotiating,17
42,Negotiating,17,Negotiating,18
42,Negotiating,18,Negotiating,19
42,Negotiating,19,Proposing,20
42,Proposing,20,Negotiating,21
42,Negotiating,21,Negotiating,22
42,Negotiating,22,Negotiating,23
42,Negotiating,23,Proposing,24
42,Proposing,24,Qualifying,25
42,Qualifying,25,Qualifying,26
42,Qualifying,26,Qualifying,27
42,Qualifying,27,Qualifying,28
42,Qualifying,28,Qualifying,29
42,Qualifying,29,Proposing,30
42,Proposing,30,Negotiating,31
42,Negotiating,31,Proposing,32
42,Proposing,32,Proposing,33
42,Proposing,33,Negotiating,34
42,Negotiating,34,Negotiating,35
42,Negotiating,35,Negotiating,36
42,Negotiating,36,Negotiating,37
42,Negotiating,37,Closing,38
42,Closing,38,Maintaining,39
43,Prospecting,1,Prospecting,2
43,Prospecting,2,Qualifying,3
43,Qualifying,3,Proposing,4
43,Proposing,4,Proposing,5
43,Proposing,5,Closing,6
43,Closing,6,Closing,7
43,Closing,7,Prospecting,8
43,Prospecting,8,Prospecting,9
43,Prospecting,9,Prospecting,10
43,Prospecting,10,Prospecting,11
43,Prospecting,11,Qualifying,12
43,Qualifying,12,Qualifying,13
43,Qualifying,13,Qualifying,14
43,Qualifying,14,Qualifying,15
43,Qualifying,15,Qualifying,16
43,Qualifying,16,Proposing,17
43,Proposing,17,Qualifying,18
43,Qualifying,18,Qualifying,19
43,Qualifying,19,Qualifying,20
43,Qualifying,20,Qualifying,21
43,Qualifying,21,Qualifying,22
43,Qualifying,22,Qualifying,23
43,Qualifying,23,Qualifying,24
43,Qualifying,24,Qualifying,25
43,Qualifying,25,Qualifying,26
43,Qualifying,26,Proposing,27
43,Proposing,27,Negotiating,28
43,Negotiating,28,Negotiating,29
43,Negotiating,29,Proposing,30
43,Proposing,30,Negotiating,31
43,Negotiating,31,Negotiating,32
43,Negotiating,32,Closing,33
43,Closing,33,Closing,34
43,Closing,34,Maintaining,35
44,Prospecting,1,Prospecting,2
44,Prospecting,2,Prospecting,3
44,Prospecting,3,Qualifying,4
44,Qualifying,4,Qualifying,5
44,Qualifying,5,Qualifying,6
44,Qualifying,6,Qualifying,7
44,Qualifying,7,Proposing,8
44,Proposing,8,Proposing,9
44,Proposing,9,Proposing,10
44,Proposing,10,Closing,11
44,Closing,11,Prospecting,12
44,Prospecting,12,Prospecting,13
44,Prospecting,13,Qualifying,14
44,Qualifying,14,Qualifying,15
44,Qualifying,15,Proposing,16
44,Proposing,16,Negotiating,17
44,Negotiating,17,Proposing,18
44,Proposing,18,Negotiating,19
44,Negotiating,19,Proposing,20
44,Proposing,20,Closing,21
44,Closing,21,Closing,22
44,Closing,22,Maintaining,23
45,Prospecting,1,Qualifying,2
45,Qualifying,2,Qualifying,3
45,Qualifying,3,Proposing,4
45,Proposing,4,Proposing,5
45,Proposing,5,Negotiating,6
45,Negotiating,6,Closing,7
45,Closing,7,Maintaining,8
46,Prospecting,1,Prospecting,2
46,Prospecting,2,Qualifying,3
46,Qualifying,3,Qualifying,4
46,Qualifying,4,Proposing,5
46,Proposing,5,Negotiating,6
46,Negotiating,6,Proposing,7
46,Proposing,7,Closing,8
46,Closing,8,Maintaining,9
47,Prospecting,1,Prospecting,2
47,Prospecting,2,Prospecting,3
47,Prospecting,3,Prospecting,4
47,Prospecting,4,Prospecting,5
47,Prospecting,5,Prospecting,6
47,Prospecting,6,Prospecting,7
47,Prospecting,7,Qualifying,8
47,Qualifying,8,Qualifying,9
47,Qualifying,9,Qualifying,10
47,Qualifying,10,Qualifying,11
47,Qualifying,11,Qualifying,12
47,Qualifying,12,Qualifying,13
47,Qualifying,13,Qualifying,14
47,Qualifying,14,Proposing,15
47,Proposing,15,Proposing,16
47,Proposing,16,Closing,17
47,Closing,17,Maintaining,18
48,Prospecting,1,Qualifying,2
48,Qualifying,2,Qualifying,3
48,Qualifying,3,Qualifying,4
48,Qualifying,4,Proposing,5
48,Proposing,5,Negotiating,6
48,Negotiating,6,Closing,7
48,Closing,7,Prospecting,8
48,Prospecting,8,Qualifying,9
48,Qualifying,9,Qualifying,10
48,Qualifying,10,Qualifying,11
48,Qualifying,11,Proposing,12
48,Proposing,12,Qualifying,13
48,Qualifying,13,Qualifying,14
48,Qualifying,14,Qualifying,15
48,Qualifying,15,Proposing,16
48,Proposing,16,Proposing,17
48,Proposing,17,Proposing,18
48,Proposing,18,Proposing,19
48,Proposing,19,Closing,20
48,Closing,20,Maintaining,21
49,Prospecting,1,Qualifying,2
49,Qualifying,2,Qualifying,3
49,Qualifying,3,Proposing,4
49,Proposing,4,Negotiating,5
49,Negotiating,5,Negotiating,6
49,Negotiating,6,Negotiating,7
49,Negotiating,7,Negotiating,8
49,Negotiating,8,Negotiating,9
49,Negotiating,9,Proposing,10
49,Proposing,10,Proposing,11
49,Proposing,11,Negotiating,12
49,Negotiating,12,Proposing,13
49,Proposing,13,Qualifying,14
49,Qualifying,14,Qualifying,15
49,Qualifying,15,Qualifying,16
49,Qualifying,16,Proposing,17
49,Proposing,17,Negotiating,18
49,Negotiating,18,Closing,19
49,Closing,19,Closing,20
49,Closing,20,Maintaining,21
50,Prospecting,1,Prospecting,2
50,Prospecting,2,Prospecting,3
50,Prospecting,3,Qualifying,4
50,Qualifying,4,Qualifying,5
50,Qualifying,5,Qualifying,6
50,Qualifying,6,Qualifying,7
50,Qualifying,7,Proposing,8
50,Proposing,8,Closing,9
50,Closing,9,Maintaining,10
51,Prospecting,1,Prospecting,2
51,Prospecting,2,Qualifying,3
51,Qualifying,3,Proposing,4
51,Proposing,4,Proposing,5
51,Proposing,5,Negotiating,6
51,Negotiating,6,Closing,7
51,Closing,7,Closing,8
51,Closing,8,Closing,9
51,Closing,9,Closing,10
51,Closing,10,Closing,11
51,Closing,11,Prospecting,12
51,Prospecting,12,Prospecting,13
51,Prospecting,13,Qualifying,14
51,Qualifying,14,Qualifying,15
51,Qualifying,15,Qualifying,16
51,Qualifying,16,Qualifying,17
51,Qualifying,17,Qualifying,18
51,Qualifying,18,Qualifying,19
51,Qualifying,19,Qualifying,20
51,Qualifying,20,Proposing,21
51,Proposing,21,Proposing,22
51,Proposing,22,Negotiating,23
51,Negotiating,23,Negotiating,24
51,Negotiating,24,Closing,25
51,Closing,25,Closing,26
51,Closing,26,Maintaining,27
52,Prospecting,1,Prospecting,2
52,Prospecting,2,Qualifying,3
52,Qualifying,3,Qualifying,4
52,Qualifying,4,Qualifying,5
52,Qualifying,5,Qualifying,6
52,Qualifying,6,Proposing,7
52,Proposing,7,Negotiating,8
52,Negotiating,8,Proposing,9
52,Proposing,9,Qualifying,10
52,Qualifying,10,Proposing,11
52,Proposing,11,Closing,12
52,Closing,12,Prospecting,13
52,Prospecting,13,Prospecting,14
52,Prospecting,14,Qualifying,15
52,Qualifying,15,Qualifying,16
52,Qualifying,16,Qualifying,17
52,Qualifying,17,Qualifying,18
52,Qualifying,18,Qualifying,19
52,Qualifying,19,Qualifying,20
52,Qualifying,20,Qualifying,21
52,Qualifying,21,Qualifying,22
52,Qualifying,22,Proposing,23
52,Proposing,23,Negotiating,24
52,Negotiating,24,Negotiating,25
52,Negotiating,25,Proposing,26
52,Proposing,26,Proposing,27
52,Proposing,27,Closing,28
52,Closing,28,Prospecting,29
52,Prospecting,29,Prospecting,30
52,Prospecting,30,Prospecting,31
52,Prospecting,31,Qualifying,32
52,Qualifying,32,Qualifying,33
52,Qualifying,33,Proposing,34
52,Proposing,34,Closing,35
52,Closing,35,Closing,36
52,Closing,36,Proposing,37
52,Proposing,37,Negotiating,38
52,Negotiating,38,Negotiating,39
52,Negotiating,39,Proposing,40
52,Proposing,40,Negotiating,41
52,Negotiating,41,Proposing,42
52,Proposing,42,Qualifying,43
52,Qualifying,43,Qualifying,44
52,Qualifying,44,Qualifying,45
52,Qualifying,45,Qualifying,46
52,Qualifying,46,Qualifying,47
52,Qualifying,47,Qualifying,48
52,Qualifying,48,Qualifying,49
52,Qualifying,49,Qualifying,50
52,Qualifying,50,Qualifying,51
52,Qualifying,51,Qualifying,52
52,Qualifying,52,Proposing,53
