Total_Transactions,Average_Value_Score,Market_Concentration,Buyer_States,Seller_States
0,0,0,"{'EVALUATING': 6, 'NOT_INTERESTED': 15, 'GO_NOGO': 1, 'DECIDING': 2, 'SATISFIED': 4, 'DISSATISFIED': 2}","{'PROPOSING': 1, 'NEGOTIATING': 3, 'QUALIFYING': 1, 'CLOSING': 2, 'PROSPECTING': 2, 'MAINTAINING': 1}"
0,0,0,"{'EVALUATING': 10, 'BUDGETING': 2, 'NOT_INTERESTED': 9, 'DELIVERED': 1, 'DECIDING': 2, 'SATISFIED': 4, 'DISSATISFIED': 2}","{'NEGOTIATING': 3, 'QUALIFYING': 3, 'CLOSING': 1, 'MAINTAINING': 3}"
0,0,0,"{'EVALUATING': 7, 'DECIDING': 3, 'NOT_INTERESTED': 13, 'SATISFIED': 5, 'DISSATISFIED': 2}","{'NEGOTIATING': 2, 'CLOSING': 1, 'QUALIFYING': 2, 'MAINTAINING': 1, 'PROSPECTING': 3, 'PROPOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 12, 'EVALUATING': 6, 'SATISFIED': 5, 'GO_NOGO': 2, 'DISSATISFIED': 2, 'BUDGETING': 3}","{'NEGOTIATING': 2, 'MAINTAINING': 1, 'CLOSING': 1, 'PROPOSING': 2, 'PROSPECTING': 3, 'QUALIFYING': 1}"
0,0,0,"{'EVALUATING': 6, 'NOT_INTERESTED': 12, 'SATISFIED': 4, 'DELIVERED': 1, 'DISSATISFIED': 3, 'DECIDING': 2, 'BUDGETING': 2}","{'NEGOTIATING': 2, 'MAINTAINING': 2, 'PROPOSING': 1, 'PROSPECTING': 3, 'QUALIFYING': 2}"
0,0,0,"{'BUDGETING': 2, 'NOT_INTERESTED': 10, 'SATISFIED': 5, 'EVALUATING': 9, 'DISSATISFIED': 3, 'DECIDING': 1}","{'NEGOTIATING': 2, 'MAINTAINING': 1, 'PROSPECTING': 4, 'QUALIFYING': 2, 'CLOSING': 1}"
0,0,0,"{'EVALUATING': 5, 'NOT_INTERESTED': 12, 'SATISFIED': 5, 'BUDGETING': 3, 'DISSATISFIED': 3, 'DECIDING': 2}","{'CLOSING': 2, 'PROSPECTING': 2, 'QUALIFYING': 5, 'MAINTAINING': 1}"
0,0,0,"{'EVALUATING': 7, 'NOT_INTERESTED': 10, 'SATISFIED': 5, 'BUDGETING': 3, 'DISSATISFIED': 3, 'DECIDING': 2}","{'MAINTAINING': 3, 'QUALIFYING': 2, 'PROPOSING': 4, 'PROSPECTING': 1}"
0,0,0,"{'NOT_INTERESTED': 8, 'EVALUATING': 7, 'SATISFIED': 5, 'DECIDING': 1, 'DISSATISFIED': 3, 'BUDGETING': 6}","{'PROSPECTING': 3, 'QUALIFYING': 2, 'NEGOTIATING': 3, 'PROPOSING': 1, 'MAINTAINING': 1}"
0,0,0,"{'NOT_INTERESTED': 10, 'BUDGETING': 5, 'SATISFIED': 5, 'DISSATISFIED': 3, 'EVALUATING': 5, 'DECIDING': 2}","{'PROSPECTING': 3, 'QUALIFYING': 3, 'PROPOSING': 1, 'NEGOTIATING': 2, 'CLOSING': 1}"
0,0,0,"{'EVALUATING': 7, 'DECIDING': 4, 'NOT_INTERESTED': 7, 'SATISFIED': 5, 'BUDGETING': 4, 'DISSATISFIED': 3}","{'PROSPECTING': 2, 'PROPOSING': 1, 'NEGOTIATING': 3, 'QUALIFYING': 3, 'CLOSING': 1}"
0,0,0,"{'BUDGETING': 5, 'GO_NOGO': 2, 'NOT_INTERESTED': 8, 'EVALUATING': 5, 'SATISFIED': 5, 'DISSATISFIED': 3, 'DECIDING': 2}","{'QUALIFYING': 3, 'CLOSING': 2, 'PROPOSING': 4, 'MAINTAINING': 1}"
0,0,0,"{'BUDGETING': 6, 'DELIVERED': 1, 'NOT_INTERESTED': 3, 'SATISFIED': 5, 'DISSATISFIED': 3, 'EVALUATING': 8, 'GO_NOGO': 1, 'DECIDING': 3}","{'PROPOSING': 3, 'MAINTAINING': 2, 'NEGOTIATING': 1, 'QUALIFYING': 3, 'PROSPECTING': 1}"
0,0,0,"{'NOT_INTERESTED': 8, 'SATISFIED': 8, 'EVALUATING': 2, 'DECIDING': 3, 'DISSATISFIED': 1, 'DELIVERED': 1, 'BUDGETING': 6, 'GO_NOGO': 1}","{'NEGOTIATING': 2, 'PROSPECTING': 3, 'CLOSING': 1, 'PROPOSING': 3, 'QUALIFYING': 1}"
0,0,0,"{'NOT_INTERESTED': 9, 'SATISFIED': 9, 'EVALUATING': 6, 'GO_NOGO': 1, 'DISSATISFIED': 1, 'BUDGETING': 3, 'DECIDING': 1}","{'CLOSING': 2, 'QUALIFYING': 2, 'MAINTAINING': 1, 'PROPOSING': 2, 'PROSPECTING': 2, 'NEGOTIATING': 1}"
0,0,0,"{'NOT_INTERESTED': 9, 'SATISFIED': 8, 'EVALUATING': 6, 'DELIVERED': 1, 'DISSATISFIED': 2, 'BUDGETING': 4}","{'MAINTAINING': 2, 'QUALIFYING': 4, 'PROSPECTING': 1, 'PROPOSING': 2, 'CLOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 8, 'SATISFIED': 8, 'DISSATISFIED': 3, 'EVALUATING': 7, 'BUDGETING': 3, 'DECIDING': 1}","{'PROSPECTING': 3, 'QUALIFYING': 3, 'PROPOSING': 2, 'MAINTAINING': 1, 'CLOSING': 1}"
0,0,0,"{'NOT_INTERESTED': 7, 'DISSATISFIED': 4, 'EVALUATING': 7, 'SATISFIED': 7, 'BUDGETING': 5}","{'PROSPECTING': 1, 'QUALIFYING': 5, 'MAINTAINING': 2, 'CLOSING': 1, 'PROPOSING': 1}"
0,0,0,"{'EVALUATING': 7, 'DISSATISFIED': 3, 'NOT_INTERESTED': 7, 'SATISFIED': 8, 'BUDGETING': 2, 'DECIDING': 3}","{'QUALIFYING': 5, 'PROPOSING': 2, 'PROSPECTING': 2, 'MAINTAINING': 1}"
0,0,0,"{'NOT_INTERESTED': 8, 'DISSATISFIED': 4, 'SATISFIED': 7, 'EVALUATING': 6, 'BUDGETING': 3, 'DECIDING': 1, 'GO_NOGO': 1}","{'PROPOSING': 3, 'QUALIFYING': 2, 'CLOSING': 2, 'PROSPECTING': 2, 'MAINTAINING': 1}"
0,0,0,"{'NOT_INTERESTED': 7, 'SATISFIED': 9, 'EVALUATING': 4, 'DISSATISFIED': 2, 'BUDGETING': 5, 'DECIDING': 1, 'GO_NOGO': 1, 'DELIVERED': 1}","{'QUALIFYING': 2, 'PROPOSING': 2, 'MAINTAINING': 1, 'CLOSING': 1, 'PROSPECTING': 2, 'NEGOTIATING': 2}"
0,0,0,"{'EVALUATING': 5, 'SATISFIED': 10, 'BUDGETING': 5, 'DISSATISFIED': 2, 'NOT_INTERESTED': 6, 'GO_NOGO': 1, 'DELIVERED': 1}","{'QUALIFYING': 2, 'CLOSING': 1, 'MAINTAINING': 1, 'NEGOTIATING': 4, 'PROSPECTING': 1, 'PROPOSING': 1}"
0,0,0,"{'BUDGETING': 3, 'SATISFIED': 11, 'DECIDING': 1, 'DISSATISFIED': 2, 'NOT_INTERESTED': 7, 'DELIVERED': 1, 'EVALUATING': 5}","{'QUALIFYING': 2, 'NEGOTIATING': 4, 'MAINTAINING': 1, 'CLOSING': 1, 'PROSPECTING': 1, 'PROPOSING': 1}"
0,0,0,"{'DECIDING': 1, 'SATISFIED': 12, 'NOT_INTERESTED': 7, 'BUDGETING': 5, 'DISSATISFIED': 2, 'EVALUATING': 3}","{'QUALIFYING': 2, 'CLOSING': 2, 'PROSPECTING': 1, 'MAINTAINING': 1, 'PROPOSING': 2, 'NEGOTIATING': 2}"
0,0,0,"{'BUDGETING': 5, 'SATISFIED': 11, 'NOT_INTERESTED': 7, 'DISSATISFIED': 3, 'EVALUATING': 3, 'DECIDING': 1}","{'QUALIFYING': 4, 'MAINTAINING': 2, 'PROSPECTING': 1, 'PROPOSING': 2, 'CLOSING': 1}"
0,0,0,"{'EVALUATING': 2, 'SATISFIED': 11, 'NOT_INTERESTED': 9, 'DECIDING': 1, 'DISSATISFIED': 3, 'BUDGETING': 4}","{'QUALIFYING': 2, 'PROSPECTING': 3, 'PROPOSING': 3, 'CLOSING': 1, 'MAINTAINING': 1}"
0,0,0,"{'BUDGETING': 2, 'SATISFIED': 12, 'NOT_INTERESTED': 8, 'DECIDING': 1, 'DISSATISFIED': 2, 'EVALUATING': 5}","{'QUALIFYING': 1, 'PROSPECTING': 4, 'CLOSING': 2, 'PROPOSING': 2, 'MAINTAINING': 1}"
0,0,0,"{'DECIDING': 1, 'SATISFIED': 11, 'NOT_INTERESTED': 8, 'GO_NOGO': 1, 'DISSATISFIED': 3, 'BUDGETING': 2, 'EVALUATING': 4}","{'PROPOSING': 1, 'QUALIFYING': 4, 'MAINTAINING': 1, 'CLOSING': 1, 'NEGOTIATING': 1, 'PROSPECTING': 2}"
0,0,0,"{'GO_NOGO': 1, 'SATISFIED': 12, 'NOT_INTERESTED': 9, 'DELIVERED': 1, 'DISSATISFIED': 2, 'EVALUATING': 3, 'BUDGETING': 2}","{'PROPOSING': 2, 'QUALIFYING': 4, 'PROSPECTING': 2, 'MAINTAINING': 1, 'NEGOTIATING': 1}"
0,0,0,"{'DELIVERED': 1, 'SATISFIED': 13, 'NOT_INTERESTED': 7, 'DISSATISFIED': 2, 'BUDGETING': 3, 'EVALUATING': 3, 'DECIDING': 1}","{'PROPOSING': 3, 'QUALIFYING': 4, 'PROSPECTING': 2, 'NEGOTIATING': 1}"
0,0,0,"{'SATISFIED': 13, 'EVALUATING': 3, 'DISSATISFIED': 3, 'NOT_INTERESTED': 6, 'BUDGETING': 4, 'GO_NOGO': 1}","{'NEGOTIATING': 1, 'PROPOSING': 2, 'PROSPECTING': 1, 'QUALIFYING': 5, 'CLOSING': 1}"
0,0,0,"{'SATISFIED': 13, 'EVALUATING': 5, 'DISSATISFIED': 3, 'NOT_INTERESTED': 6, 'DECIDING': 1, 'DELIVERED': 1, 'BUDGETING': 1}","{'CLOSING': 2, 'NEGOTIATING': 1, 'QUALIFYING': 4, 'MAINTAINING': 1, 'PROPOSING': 2}"
0,0,0,"{'SATISFIED': 12, 'BUDGETING': 3, 'DISSATISFIED': 5, 'NOT_INTERESTED': 7, 'EVALUATING': 2, 'DECIDING': 1}","{'MAINTAINING': 2, 'PROPOSING': 3, 'QUALIFYING': 3, 'PROSPECTING': 1, 'CLOSING': 1}"
0,0,0,"{'SATISFIED': 11, 'DECIDING': 1, 'DISSATISFIED': 6, 'NOT_INTERESTED': 7, 'EVALUATING': 3, 'GO_NOGO': 1, 'BUDGETING': 1}","{'PROSPECTING': 2, 'NEGOTIATING': 1, 'QUALIFYING': 3, 'PROPOSING': 2, 'MAINTAINING': 2}"
